id,DeviceName,Time,Voltage,Current,Power,Temperature,Consumed,Capacity
2219319,Cabin BVM,2023-07-18 06:51:40,26.57,-2.134,-57,28,-63.465,89.45
2219318,Cabin BVM,2023-07-18 06:51:30,26.572,-2.089,-56,28,-63.459,89.45
2219317,Cabin BVM,2023-07-18 06:51:20,26.573,-1.979,-53,28,-63.454,89.45
2219316,Cabin BVM,2023-07-18 06:51:10,26.571,-1.775,-47,28,-63.448,89.4
2219315,Cabin BVM,2023-07-18 06:51:00,26.571,-1.885,-50,28,-63.443,89.4
2219314,Cabin BVM,2023-07-18 06:50:50,26.572,-1.904,-51,28,-63.438,89.4
2219313,Cabin BVM,2023-07-18 06:50:40,26.572,-2.099,-56,28,-63.432,89.4
2219312,Cabin BVM,2023-07-18 06:50:30,26.57,-2.065,-55,28,-63.427,89.4
2219311,Cabin BVM,2023-07-18 06:50:20,26.57,-1.993,-53,28,-63.421,89.4
2219310,Cabin BVM,2023-07-18 06:50:10,26.568,-2.22,-59,28,-63.416,89.4
2219309,Cabin BVM,2023-07-18 06:50:00,26.571,-2.064,-55,28,-63.41,89.4
2219308,Cabin BVM,2023-07-18 06:49:50,26.572,-1.891,-50,28,-63.404,89.4
2219307,Cabin BVM,2023-07-18 06:49:40,26.569,-2.298,-61,28,-63.399,89.4
2219306,Cabin BVM,2023-07-18 06:49:30,26.568,-2.44,-65,28,-63.392,89.4
2219305,Cabin BVM,2023-07-18 06:49:20,26.569,-1.971,-52,28,-63.387,89.4
2219304,Cabin BVM,2023-07-18 06:49:10,26.567,-2.153,-57,28,-63.381,89.4
2219303,Cabin BVM,2023-07-18 06:49:00,26.568,-2.011,-53,28,-63.375,89.4
2219302,Cabin BVM,2023-07-18 06:48:50,26.566,-2.422,-64,28,-63.369,89.4
2219301,Cabin BVM,2023-07-18 06:48:40,26.566,-2.307,-61,28,-63.363,89.4
2219300,Cabin BVM,2023-07-18 06:48:30,26.566,-2.498,-66,28,-63.357,89.4
2219299,Cabin BVM,2023-07-18 06:48:20,26.57,-1.806,-48,28,-63.351,89.4
2219298,Cabin BVM,2023-07-18 06:48:10,26.567,-2.137,-57,28,-63.345,89.4
2219297,Cabin BVM,2023-07-18 06:48:00,26.567,-2.36,-63,28,-63.339,89.4
2219296,Cabin BVM,2023-07-18 06:47:50,26.565,-2.302,-61,28,-63.332,89.4
2219295,Cabin BVM,2023-07-18 06:47:40,26.568,-2.256,-60,28,-63.326,89.4
2219294,Cabin BVM,2023-07-18 06:47:30,26.565,-2.326,-62,28,-63.32,89.4
2219293,Cabin BVM,2023-07-18 06:47:20,26.567,-2.101,-56,28,-63.314,89.4
2219292,Cabin BVM,2023-07-18 06:47:10,26.565,-2.175,-58,28,-63.308,89.4
2219291,Cabin BVM,2023-07-18 06:47:00,26.566,-2.263,-60,28,-63.302,89.4
2219290,Cabin BVM,2023-07-18 06:46:50,26.564,-2.362,-63,28,-63.296,89.5
2219289,Cabin BVM,2023-07-18 06:46:40,26.565,-2.289,-61,28,-63.29,89.5
2219288,Cabin BVM,2023-07-18 06:46:30,26.567,-2.138,-57,28,-63.284,89.5
2219287,Cabin BVM,2023-07-18 06:46:20,26.567,-2.139,-57,28,-63.278,89.5
2219286,Cabin BVM,2023-07-18 06:46:10,26.566,-2.44,-65,28,-63.271,89.5
2219285,Cabin BVM,2023-07-18 06:46:00,26.564,-2.521,-67,28,-63.265,89.5
2219284,Cabin BVM,2023-07-18 06:45:50,26.564,-2.465,-65,28,-63.258,89.5
2219283,Cabin BVM,2023-07-18 06:45:40,26.565,-2.023,-54,28,-63.251,89.5
2219282,Cabin BVM,2023-07-18 06:45:30,26.566,-2.153,-57,28,-63.245,89.5
2219281,Cabin BVM,2023-07-18 06:45:20,26.565,-2.202,-58,28,-63.239,89.5
2219280,Cabin BVM,2023-07-18 06:45:10,26.564,-2.47,-66,28,-63.232,89.5
2219279,Cabin BVM,2023-07-18 06:45:00,26.564,-2.456,-65,28,-63.225,89.5
2219278,Cabin BVM,2023-07-18 06:44:50,26.564,-2.239,-59,28,-63.219,89.5
2219277,Cabin BVM,2023-07-18 06:44:40,26.563,-2.578,-68,28,-63.212,89.5
2219276,Cabin BVM,2023-07-18 06:44:30,26.565,-2.414,-64,28,-63.205,89.5
2219275,Cabin BVM,2023-07-18 06:44:20,26.566,-2.26,-60,28,-63.199,89.5
2219274,Cabin BVM,2023-07-18 06:44:10,26.563,-2.605,-69,28,-63.192,89.5
2219273,Cabin BVM,2023-07-18 06:44:00,26.562,-2.518,-67,28,-63.185,89.5
2219272,Cabin BVM,2023-07-18 06:43:50,26.565,-2.3,-61,28,-63.178,89.5
2219271,Cabin BVM,2023-07-18 06:43:40,26.561,-2.591,-69,28,-63.172,89.5
2219270,Cabin BVM,2023-07-18 06:43:30,26.561,-2.612,-69,28,-63.165,89.5
2219269,Cabin BVM,2023-07-18 06:43:20,26.562,-2.601,-69,28,-63.158,89.5
2219268,Cabin BVM,2023-07-18 06:43:10,26.564,-2.295,-61,28,-63.151,89.5
2219267,Cabin BVM,2023-07-18 06:43:00,26.565,-2.288,-61,28,-63.145,89.5
2219266,Cabin BVM,2023-07-18 06:42:50,26.565,-2.266,-60,28,-63.138,89.5
2219265,Cabin BVM,2023-07-18 06:42:40,26.563,-2.594,-69,28,-63.132,89.5
